code;label-nl_BE;label-en_GB;label-fr_BE;allowed_extensions;auto_option_sorting;available_locales;copy_to_blueprint;date_max;date_min;decimals_allowed;default_metric_unit;group;hidden;localizable;max_characters;max_file_size;metric_family;minimum_input_length;min_characters;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;target_entity;type;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled
max_length;"Maximale lengte";"Max length";;;;;0;;;0;METER;specifications;0;0;;;Length;;;0;;;;0;10;Category;pim_catalog_metric;0;0;;;
surface;Oppervlakte;Surface;;;;;0;;;0;SQUARE_METER;other;0;0;;;Area;;;0;;;;0;19;Category;pim_catalog_metric;0;0;;;
brand;Merk;Merk;;;;;1;;;;;general;0;0;;;;;;;;;;0;1;Category;pim_catalog_simpleselect;0;1;;;
category_image;"Categorie Afbeelding";"Category Image";;;;;0;;;;;other;0;0;;;;;;;;;;0;20;Category;pim_catalog_image;0;0;;;
dolly;Dolly;Dolly;;;;;0;;;;;other;0;0;;;;;;;;;;0;21;Category;pim_catalog_boolean;0;0;;;
lgp_xl;"LGP / XL";"LGP / XL";;;;;0;;;;;annex;0;0;;;;;;;;;;0;25;Category;pim_catalog_simpleselect;0;0;;;
Alternatives;"Aanvaardt u alternatieve voorstellen?";"Do you accept alternative propositions?";;;;;0;;;;;alternatives;0;0;;;;;;;;;;0;0;Category;pim_catalog_boolean;0;0;;;
Transport;"Transport nodig?";Transport;;;;;0;;;;;remarks;0;0;;;;;;;;;;0;0;Category;pim_catalog_simpleselect;0;0;;;
transporttest;"Transport geregeld door verhuurder";"Transport geregeld door verhuurder";;;;;0;;;;;remarks;0;0;;;;;;;;;;0;0;Category;pim_catalog_boolean;0;0;;;
Diesel_nodig;"Met diesel geleverd";"Met diesel geleverd";;;;;0;;;;;remarks;0;0;;;;;;;;;;0;0;Category;pim_catalog_boolean;0;0;;;
bemanning;"Inclusief bemanning";"Inclusief bemanning";;;;;0;;;;;remarks;0;0;;;;;;;;;;0;0;Category;pim_catalog_boolean;0;0;;;
Uit_te_voeren_werken;"Welke werken moeten er met de machine uitgevoerd worden? (zoute/zure omgeving, sloop,...)";"Welke werken moeten er met de machine uitgevoerd worden? (zoute/zure omgeving, sloop,...)";;;;;0;;;;;Uittevoerenwerken;0;0;;;;;1;;;;;0;0;Category;pim_catalog_textarea;0;0;;;
RoterendeKipbak;"Roterende kipbak";"Roterende kipbak";;;;;0;;;;;options;0;0;;;;;;;;;;0;11;Category;pim_catalog_boolean;0;0;;;
Smalle_bak;"Smalle bak";"Smalle bak";;;;;0;;;;;annex;0;0;;;;;;;;;;0;26;Category;pim_catalog_boolean;0;0;;;
Kantelkoppeling_kantelbak;Kantelkoppeling/Kantelbak;Kantelkoppeling/Kantelbak;;;;;0;;;;;annex;0;0;;;;;;;;;;0;2;Category;pim_catalog_boolean;0;0;;;
Spon;Spon;Spon;;;;;0;;;;;options;0;0;;;;;;;;;;0;6;Category;pim_catalog_boolean;0;0;;;
Hybride;Hybride;Hybride;;;;;0;;;;;options;0;0;;;;;;;;;;0;0;Category;pim_catalog_boolean;0;0;;;
Rippertand;Rippertand;Rippertand;;;;;0;;;;;annex;0;0;;;;;;;;;;0;4;Category;pim_catalog_boolean;0;0;;;
Sblade;"Vast blad (S blade)";"S blade";;;;;0;;;;;options;0;0;;;;;;;;;;0;2;Category;pim_catalog_boolean;0;0;;;
SU_blade;"Vast blad (SU blade)";"SU blade";;;;;0;;;;;options;0;0;;;;;;;;;;0;4;Category;pim_catalog_boolean;0;0;;;
