sku;barcode_1;supplier_1_order_code;title_short;supplier_1;supplier_1_purchase_price_net;price_trading;price_sale-nl_NL;price_advice;vat_code_NL;threshold_quantity;supplier_1_amount_order_factor
378834;8714503222617;5401440-TA;Coby plaid 130 x 160cm  taupe;515;7.50;0.00;14.95;0.00;2;10;1.00
378964;8714503242615;33010113-T;Enzo plaid 130x180 taupe;515;4.70;0.00;8.95;0.00;2;10;1.00
379328;8712013492704;1149270;Badstof hoes voor relaxstoelen;2;9.25;0.00;19.95;0.00;2;40;1.00
381411;8712013149264;6514926;Veger en blik kunststof luxe;2;1.35;0.00;3.95;4.99;2;50;24.00
381617;3086960014667;6603200;Slimme gieter Bo-Camp;2;5.95;0.00;12.95;13.95;2;20;6.00
381701;8714503245470;4330848-SE;Justin plaid harbour green;515;6.25;0.00;11.95;0.00;2;20;6.00
381702;8714503241380;241380;Justin plaid oud roze;515;6.25;0.00;11.95;0.00;2;20;6.00
381706;8712757411238;5702871;Verloopring 1/2'' buiten x 1/4'' bi;640;1.43;0.00;3.95;3.95;2;;1.00
381711;8712757411375;5706121;Blindstop knelkoppeling 10mm;640;2.64;0.00;5.95;6.00;2;10;1.00
381715;8712757411474;5703871;Gimeg rechte aansluiting 1/4 inch b;640;4.34;0.00;8.95;8.95;2;;1.00
381716;8712757411177;5703141;Knelkoppeling verloop recht 10mm kn;640;2.88;0.00;8.50;8.50;2;;1.00
381719;8712757366743;5703561;Rechte aansluiting messing 6/8 X 3/;640;3.51;0.00;7.95;7.95;2;;1.00
382078;8718924880777;B1400;Popal Black Fighter 14'';13680;80.00;0.00;139.00;0.00;2;0;0.00
382081;Ki1824-B;Ki1824-B;Popal Kicks 18';13680;91.00;0.00;159.00;0.00;2;0;1.00
382635;8712442912170;22280646;Placemat 30x45cm;2600;0.70;0.00;1.50;0.00;2;0;24.00
382897;8712013015002;6101500;Kroes emaille wit+blauwe rand d.8cm;2;1.03;0.00;2.50;2.75;2;10;48.00
382946;0602401889859;0602401889859;Set airtubes 390;14670;11.39;29.00;45.00;0.00;2;5;1.00
383168;8718924880234;2800-50;Popal Daily Dutch Basic+ 28;13680;214.00;0.00;369.00;0.00;2;;0.00
383278;4052471437782;LM310945-9751;Renegade Gtx Mid;6930;87.77;0.00;159.95;199.95;2;;0.00
385738;8712013188706;5818870;Tafel-/hanglamp Propus 1 Watt;2;3.35;0.00;7.50;10.75;2;5;50.00
385756;8712013155012;4115501;Tarp en tentstok 4-delig 230cm;2;7.11;0.00;18.85;21.50;2;;20.00
385761;8712013672502;7267250;Strandparasol nylon 160cm;2;5.72;0.00;13.95;15.50;2;10;8.00
385764;8712013235936;6423593;Wasknijpers en waslijn in tas;2;2.72;0.00;5.95;7.25;2;10;20.00
385766;8712013811307;6381130;Koffiefilterhouder Siliconen opv;2;2.67;0.00;5.95;6.95;2;10;6.00
385773;8712013045801;1204580;Viskrukje;2;3.03;0.00;5.95;8.50;2;5;24.00
385776;8712013047799;1204779;Strandstoel Compact blauw;2;8.70;0.00;16.95;25.50;2;20;6.00
385784;8712013091754;1509175;Kookwindscherm aluminium 50x36cm;2;6.05;0.00;12.95;19.95;2;5;36.00
385786;8712013092256;1509225;Kookwindscherm aluminium 49x26cm;2;4.51;0.00;9.95;13.95;2;5;72.00
385789;8712013715100;1771510;Tentschort 14-vaks met spiegel;2;5.16;0.00;10.95;17.25;2;5;20.00
385790;8712013715209;1771520;Tentschort 6-vaks;2;4.91;0.00;11.95;14.95;2;;20.00
385803;8712013173054;4117305;BC Haringzak small;2;1.54;0.00;3.95;4.75;2;;30.00
385804;8712013173498;4117349;Wielhoes gecoat;2;3.35;0.00;9.95;12.50;2;20;10.00
385822;8712013244006;5124400;Organizer/tentschort Smart 3vaks;2;4.61;0.00;9.95;12.95;2;;20.00
385827;8712013003054;5300305;Caravan Organizer Smart 12vaks;2;9.31;0.00;17.95;24.95;2;5;20.00
385837;8712013232256;5823225;Voortentverlichting LED 3-delig 7W;2;36.18;0.00;69.90;90.95;2;5;6.00
